id,experiment,trial,manipulation,item,correct
id112,Experiment 1a,6,Test - Point + Label,Elephant,0
id112,Experiment 1a,7,Test - Point,Bear,0
id112,Experiment 1a,8,Test - Look + Label,Dog,0
id120,Experiment 1a,1,Test - Point + Label,Frog,1
id120,Experiment 1a,2,Test - Look + Label,Mouse,1
id120,Experiment 1a,3,Test - Point,Bunny,0
id120,Experiment 1a,4,Test - Look + Label,Bear,0
id120,Experiment 1a,5,Test - Look,Elephant,1
id120,Experiment 1a,6,Test - Point + Label,Tiger,1
id120,Experiment 1a,7,Test - Look,Dog,1
id120,Experiment 1a,8,Test - Point,Pig,0
id121,Experiment 1a,1,Test - Look + Label,Elephant,1
id121,Experiment 1a,2,Test - Point,Cat,1
id121,Experiment 1a,3,Test - Point + Label,Monkey,1
id121,Experiment 1a,4,Test - Look + Label,Dog,1
id121,Experiment 1a,5,Test - Point,Pig,1
id121,Experiment 1a,6,Test - Look,Tiger,1
id121,Experiment 1a,7,Test - Look,Bear,1
id121,Experiment 1a,8,Test - Point + Label,Sheep,0
id124,Experiment 1a,1,Test - Point + Label,Mouse,1
id124,Experiment 1a,2,Test - Look,Monkey,1
id124,Experiment 1a,3,Test - Point + Label,Frog,1
id124,Experiment 1a,4,Test - Look + Label,Bunny,1
id124,Experiment 1a,5,Test - Look,Sheep,1
id124,Experiment 1a,6,Test - Point,Elephant,1
id124,Experiment 1a,7,Test - Point,Pig,1
id124,Experiment 1a,8,Test - Look + Label,Bear,1
id132,Experiment 1a,1,Test - Look,Mouse,0
id132,Experiment 1a,2,Test - Point + Label,Sheep,1
id132,Experiment 1a,3,Test - Look,Monkey,1
id132,Experiment 1a,4,Test - Point,Pig,1
id132,Experiment 1a,5,Test - Point,Frog,0
id132,Experiment 1a,6,Test - Point + Label,Dog,1
id132,Experiment 1a,7,Test - Look + Label,Bunny,1
id132,Experiment 1a,8,Test - Look + Label,Tiger,1
id141,Experiment 1a,1,Test - Look + Label,Bunny,1
id141,Experiment 1a,2,Test - Point + Label,Frog,0
id141,Experiment 1a,3,Test - Look,Tiger,0
id141,Experiment 1a,4,Test - Point + Label,Cat,1
id141,Experiment 1a,5,Test - Look,Elephant,1
id141,Experiment 1a,6,Test - Look + Label,Pig,1
id141,Experiment 1a,7,Test - Point,Bear,1
id141,Experiment 1a,8,Test - Point,Dog,1
id143,Experiment 1a,1,Test - Look,Bunny,1
id143,Experiment 1a,2,Test - Point,Tiger,1
id143,Experiment 1a,3,Test - Point,Bear,1
id143,Experiment 1a,4,Test - Look + Label,Frog,1
id143,Experiment 1a,5,Test - Look,Pig,1
id143,Experiment 1a,6,Test - Look + Label,Sheep,1
id143,Experiment 1a,7,Test - Point + Label,Monkey,1
id143,Experiment 1a,8,Test - Point + Label,Dog,1
id147,Experiment 1a,1,Test - Point,Elephant,1
id147,Experiment 1a,2,Test - Look,Frog,1
id147,Experiment 1a,3,Test - Look,Tiger,1
id147,Experiment 1a,4,Test - Look + Label,Cat,1
id147,Experiment 1a,5,Test - Point + Label,Pig,1
id147,Experiment 1a,6,Test - Point,Bear,1
id147,Experiment 1a,7,Test - Point + Label,Dog,1
id147,Experiment 1a,8,Test - Look + Label,Sheep,1
id152,Experiment 1a,1,Test - Point,Pig,1
id152,Experiment 1a,2,Test - Point + Label,Dog,1
id152,Experiment 1a,3,Test - Look,Frog,0
id152,Experiment 1a,4,Test - Look + Label,Bunny,1
id152,Experiment 1a,5,Test - Look + Label,Cat,0
id152,Experiment 1a,6,Test - Look,Sheep,1
id152,Experiment 1a,7,Test - Point,Tiger,0
id152,Experiment 1a,8,Test - Point + Label,Bear,0
id157,Experiment 1a,1,Test - Point,Sheep,0
id157,Experiment 1a,2,Test - Look,Bear,1
id157,Experiment 1a,3,Test - Point,Cat,1
id157,Experiment 1a,4,Test - Point + Label,Monkey,0
id157,Experiment 1a,5,Test - Look + Label,Elephant,1
id157,Experiment 1a,6,Test - Point + Label,Dog,0
id157,Experiment 1a,7,Test - Look,Bunny,0
id157,Experiment 1a,8,Test - Look + Label,Mouse,1
id158,Experiment 1a,1,Test - Look + Label,Monkey,1
id158,Experiment 1a,2,Test - Look,Cat,1
id158,Experiment 1a,3,Test - Look + Label,Bear,1
id158,Experiment 1a,4,Test - Look,Frog,1
id158,Experiment 1a,5,Test - Point,Elephant,1
id158,Experiment 1a,6,Test - Point,Bunny,1
id158,Experiment 1a,7,Test - Point + Label,Dog,1
id158,Experiment 1a,8,Test - Point + Label,Pig,1
id159,Experiment 1a,1,Test - Point + Label,Tiger,1
id159,Experiment 1a,2,Test - Point + Label,Monkey,1
id159,Experiment 1a,3,Test - Look,Frog,1
id159,Experiment 1a,4,Test - Look + Label,Dog,1
id159,Experiment 1a,5,Test - Point,Elephant,1
id159,Experiment 1a,6,Test - Point,Bunny,1
id159,Experiment 1a,7,Test - Look,Bear,1
id159,Experiment 1a,8,Test - Look + Label,Mouse,1
id172,Experiment 1a,1,Test - Look,Bunny,1
id172,Experiment 1a,2,Test - Look + Label,Cat,0
id172,Experiment 1a,3,Test - Point,Tiger,1
id172,Experiment 1a,4,Test - Point + Label,Elephant,1
id172,Experiment 1a,5,Test - Point + Label,Pig,1
id172,Experiment 1a,6,Test - Look,Dog,1
id172,Experiment 1a,7,Test - Look + Label,Mouse,1
id172,Experiment 1a,8,Test - Point,Bear,1
id175,Experiment 1a,1,Test - Look + Label,Sheep,0
id175,Experiment 1a,2,Test - Point,Tiger,0
id175,Experiment 1a,3,Test - Look + Label,Frog,1
id175,Experiment 1a,4,Test - Point + Label,Dog,1
id175,Experiment 1a,5,Test - Point,Elephant,1
id175,Experiment 1a,6,Test - Point + Label,Bear,1
id175,Experiment 1a,7,Test - Look,Pig,1
id175,Experiment 1a,8,Test - Look,Bunny,0
id176,Experiment 1a,1,Test - Look + Label,Cat,1
id176,Experiment 1a,2,Test - Point,Bunny,1
id176,Experiment 1a,3,Test - Look,Pig,1
id176,Experiment 1a,4,Test - Look + Label,Mouse,1
